Date,Treatment,Block,Species,Tag_Num,StomCon1,StomCon2,StomCon3
2019-03-06,Native,1.0,SALAPI,2.0,180.0,143.0,322.0
2018-11-16,Native,2.0,SALAPI,8.0,197.0,194.6,271.7
2018-11-16,Native,2.0,SALAPI,9.0,168.8,361.3,182.5
2018-11-16,Native,1.0,SALAPI,5.0,97.2,456.2,275.8
2018-11-16,Native,2.0,SALAPI,6.0,279.4,278.3,427.6
2019-03-06,Native,1.0,SALAPI,1.0,342.0,240.0,434.0
2018-11-16,Native,2.0,SALAPI,7.0,395.9,458.6,184.6
2019-03-10,Native,2.0,SALAPI,9.0,344.8,370.4,336.7
2018-11-16,Native,1.0,SALAPI,1.0,528.5,493.3,168.9
2018-11-16,Native,1.0,SALAPI,4.0,319.6,669.0,392.2
2018-11-16,Native,1.0,SALAPI,2.0,458.6,455.3,541.3
2018-11-16,Native,1.0,SALAPI,3.0,424.0,1056.2,1032.5
2018-11-16,NonNative,1.0,RHAIND,3.0,210.6,227.1,114.7
2018-11-16,NonNative,3.0,RHAIND,9.0,271.2,86.0,212.2
2018-11-16,NonNative,3.0,RHAIND,10.0,118.5,174.7,344.4
2018-11-16,NonNative,1.0,RHAIND,1.0,240.1,254.6,150.4
2018-11-16,NonNative,2.0,RHAIND,6.0,128.8,329.8,223.5
2019-02-27,NonNative,2.0,RHAIND,6.0,223.0,367.6,141.7
2019-02-27,NonNative,2.0,RHAIND,5.0,182.0,308.2,298.6
2018-11-16,NonNative,3.0,RHAIND,7.0,132.5,328.0,370.6
2019-02-27,NonNative,1.0,RHAIND,3.0,293.08,369.9,206.4
2019-02-27,NonNative,1.0,RHAIND,1.0,278.8,247.7,377.8
2018-11-16,NonNative,2.0,RHAIND,5.0,452.9,137.1,392.5
2019-02-27,NonNative,1.0,RHAIND,4.0,368.3,384.6,262.2
2018-11-16,NonNative,1.0,RHAIND,4.0,452.2,330.1,240.5
2018-11-16,NonNative,1.0,RHAIND,2.0,320.5,455.1,310.2
2018-11-16,NonNative,3.0,RHAIND,8.0,138.2,182.7,1055.0
2019-02-27,NonNative,1.0,RHAIND,2.0,586.8,335.8,494.3
2019-03-06,NonNative,3.0,RHAIND,8.0,490.2,407.4,601.1
2019-03-06,NonNative,3.0,RHAIND,7.0,453.0,598.3,521.0
2019-03-06,NonNative,3.0,RHAIND,9.0,575.4,521.5,677.4
2019-03-06,NonNative,3.0,RHAIND,10.0,537.5,659.0,636.3
2019-02-27,Native,1.0,FRACAL,2.0,268.3,211.7,201.5
2018-11-16,Native,3.0,FRACAL,9.0,146.5,249.2,294.0
2019-02-27,Native,1.0,FRACAL,1.0,303.4,293.8,212.6
2018-11-16,Native,1.0,FRACAL,5.0,143.1,348.8,328.2
2018-11-16,Native,2.0,FRACAL,7.0,440.7,194.8,247.7
2018-11-16,Native,1.0,FRACAL,1.0,267.5,265.3,353.9
2019-02-27,Native,1.0,FRACAL,4.0,178.8,270.5,448.2
2018-11-16,Native,3.0,FRACAL,10.0,368.1,274.0,325.0
2019-02-27,Native,1.0,FRACAL,3.0,367.8,358.6,244.7
2018-11-16,Native,1.0,FRACAL,3.0,339.4,338.7,369.1
2018-11-16,Native,2.0,FRACAL,6.0,367.9,390.0,292.7
2018-11-16,Native,1.0,FRACAL,4.0,441.7,425.5,204.2
2018-11-16,Native,2.0,FRACAL,8.0,353.1,332.3,401.6
2018-11-16,Native,1.0,FRACAL,2.0,249.3,514.2,338.9
2019-02-27,Native,1.0,FRACAL,5.0,510.8,267.8,369.7
2019-02-27,Native,2.0,FRACAL,6.0,377.8,392.9,438.2
2019-03-06,Native,3.0,FRACAL,10.0,454.3,471.0,564.2
2019-03-06,Native,2.0,FRACAL,8.0,535.7,427.0,613.9
2019-03-06,Native,2.0,FRACAL,7.0,436.6,485.1,670.8
2019-03-06,Native,3.0,FRACAL,9.0,617.6,544.4,496.5
2018-11-16,NonNative,2.0,ROSOFF,5.0,65.0,77.8,60.6
2018-11-16,NonNative,3.0,ROSOFF,10.0,193.8,80.6,96.3
2018-11-16,NonNative,3.0,ROSOFF,9.0,111.0,63.6,264.8
2018-11-16,NonNative,2.0,ROSOFF,6.0,100.4,130.9,228.4
2018-11-16,NonNative,1.0,ROSOFF,4.0,176.1,239.7,44.2
2018-11-16,NonNative,1.0,ROSOFF,3.0,94.8,281.8,138.1
2018-11-16,NonNative,1.0,ROSOFF,1.0,234.6,146.4,139.6
2018-11-16,NonNative,3.0,ROSOFF,7.0,266.9,271.7,157.5
2018-11-16,NonNative,1.0,ROSOFF,2.0,349.6,191.7,176.6
2019-02-27,NonNative,3.0,ROSOFF,9.0,366.7,219.1,243.1
2019-02-27,NonNative,2.0,ROSOFF,6.0,321.3,264.7,313.1
2019-02-27,NonNative,3.0,ROSOFF,10.0,184.8,334.5,443.3
2018-11-16,NonNative,3.0,ROSOFF,8.0,374.4,334.0,257.4
2019-02-27,NonNative,1.0,ROSOFF,1.0,237.1,295.7,450.6
2019-02-27,NonNative,2.0,ROSOFF,5.0,279.4,278.1,446.9
2019-02-27,NonNative,1.0,ROSOFF,4.0,283.5,451.4,274.5
2019-02-27,NonNative,3.0,ROSOFF,8.0,547.4,289.4,313.4
2019-02-27,NonNative,3.0,ROSOFF,7.0,305.6,445.8,430.9
2019-02-27,NonNative,1.0,ROSOFF,3.0,597.0,365.3,311.5
2019-02-27,NonNative,1.0,ROSOFF,2.0,744.1,247.9,334.4
2018-11-16,Native,1.0,ERIFAS,3.0,40.8,40.7,28.7
2018-11-16,Native,3.0,ERIFAS,9.0,85.6,75.0,57.8
2018-11-16,Native,2.0,ERIFAS,7.0,114.2,124.2,91.2
2018-11-16,Native,2.0,ERIFAS,5.0,284.0,36.3,55.0
2019-02-27,Native,2.0,ERIFAS,7.0,162.1,131.2,91.4
2018-11-16,Native,3.0,ERIFAS,10.0,134.5,70.6,193.7
2019-02-27,Native,2.0,ERIFAS,5.0,105.9,280.4,127.9
2019-02-27,Native,1.0,ERIFAS,2.0,233.1,154.9,241.9
2018-11-16,Native,1.0,ERIFAS,4.0,153.0,270.2,216.4
2019-02-27,Native,3.0,ERIFAS,10.0,124.1,307.4,231.8
2018-11-16,Native,1.0,ERIFAS,2.0,251.1,280.2,161.7
2019-02-27,Native,1.0,ERIFAS,4.0,144.2,279.0,337.6
2019-02-27,Native,2.0,ERIFAS,6.0,315.2,238.1,212.6
2019-02-27,Native,3.0,ERIFAS,9.0,252.8,262.6,253.2
2018-11-16,Native,2.0,ERIFAS,6.0,271.7,242.6,326.5
2018-11-16,Native,3.0,ERIFAS,8.0,503.6,134.4,255.1
2019-02-27,Native,3.0,ERIFAS,8.0,403.6,333.3,222.2
2018-11-16,Native,1.0,ERIFAS,1.0,342.2,653.7,434.4
2019-02-27,Native,1.0,ERIFAS,1.0,508.1,497.8,653.5
